dataset: ../../48_6_layer_sentences_balanced_newline.txt
seed: 2395333166
sequence_length: 6
sentence_length: 6
n_classes: 53
embedding_dim: 16
feedforward_dim: 64
n_blocks: 2
n_heads: 2
k_dim: 4
v_dim: 4
batch_size: 64
n_epochs: 5000
learning_rate: 0.001

epoch, train_loss, test_loss, n_in_sample, n_out_of_sample, n_invalid
371 0.05697430670261383 3.740623950958252 0 0 0
372 0.0566830113530159 3.7429471015930176 0 0 0
373 0.056395284831523895 3.745669364929199 0 0 0
374 0.05610300227999687 3.748215675354004 0 0 0
375 0.055803436785936356 3.750507354736328 0 0 0
376 0.0555107519030571 3.7530107498168945 0 0 0
377 0.05522363632917404 3.755679130554199 0 0 0
378 0.05494124814867973 3.7578673362731934 0 0 0
379 0.05464459955692291 3.7599005699157715 0 0 0
380 0.05434531345963478 3.7624545097351074 0 0 0
381 0.054062481969594955 3.7650234699249268 0 0 0
382 0.05379502475261688 3.7670505046844482 0 0 0
383 0.05354137718677521 3.7694613933563232 0 0 0
384 0.05329424515366554 3.772148609161377 0 0 0
385 0.053034860640764236 3.7743825912475586 0 0 0
386 0.052759092301130295 3.7768619060516357 0 0 0
387 0.0524650514125824 3.7791717052459717 0 0 0
388 0.05216693878173828 3.781484603881836 0 0 0
389 0.05189921706914902 3.783651828765869 0 0 0
390 0.05166685953736305 3.785975456237793 0 0 0
391 0.051436539739370346 3.788473129272461 0 0 0
392 0.05118284747004509 3.790579319000244 0 0 0
393 0.05091690272092819 3.7931389808654785 0 0 0
394 0.05063929781317711 3.795626640319824 0 0 0
395 0.050369009375572205 3.7979283332824707 0 0 0
396 0.0501193031668663 3.8000454902648926 0 0 0
397 0.04988028109073639 3.8023123741149902 0 0 0
398 0.0496496818959713 3.804842948913574 0 0 0
399 0.04941051825881004 3.8068413734436035 0 0 0
400 0.04916158318519592 3.808964490890503 7880 178 1942
401 0.04891068488359451 3.8116281032562256 0 0 0
402 0.048664551228284836 3.81416654586792 0 0 0
403 0.04842762649059296 3.816206932067871 0 0 0
404 0.04819845035672188 3.818399429321289 0 0 0
405 0.04797593876719475 3.8207643032073975 0 0 0
406 0.04774632677435875 3.822854995727539 0 0 0
407 0.04751478508114815 3.8252804279327393 0 0 0
408 0.047283537685871124 3.827619791030884 0 0 0
409 0.047052063047885895 3.829784393310547 0 0 0
410 0.046825725585222244 3.8322179317474365 0 0 0
411 0.046601682901382446 3.8347582817077637 0 0 0
412 0.04638242349028587 3.836862087249756 0 0 0
413 0.046164412051439285 3.838850498199463 0 0 0
414 0.04594598338007927 3.8411366939544678 0 0 0
415 0.04573364928364754 3.843266487121582 0 0 0
416 0.04552106931805611 3.845294952392578 0 0 0
417 0.0453140027821064 3.84744930267334 0 0 0
418 0.04510798677802086 3.849787712097168 0 0 0
419 0.044902391731739044 3.8520700931549072 0 0 0
420 0.04469764232635498 3.85441255569458 0 0 0
421 0.044489867985248566 3.8566207885742188 0 0 0
422 0.04427915811538696 3.858835220336914 0 0 0
423 0.04406900703907013 3.86075758934021 0 0 0
424 0.04386456310749054 3.8628652095794678 0 0 0
425 0.043664973229169846 3.8648762702941895 0 0 0
426 0.04346764460206032 3.8668782711029053 0 0 0
427 0.04327439144253731 3.869174003601074 0 0 0
428 0.04308460280299187 3.871619462966919 0 0 0
429 0.0428960919380188 3.8739590644836426 0 0 0
430 0.04270283877849579 3.8760268688201904 0 0 0
431 0.04250294342637062 3.8784749507904053 0 0 0
432 0.04230519011616707 3.880671501159668 0 0 0
433 0.04210876673460007 3.882689952850342 0 0 0
434 0.04192209616303444 3.884662628173828 0 0 0
435 0.041740741580724716 3.886752128601074 0 0 0
436 0.041559357196092606 3.8888072967529297 0 0 0
437 0.04138164222240448 3.890843629837036 0 0 0
438 0.04120317101478577 3.8930764198303223 0 0 0
439 0.04102163761854172 3.8951096534729004 0 0 0
440 0.040836408734321594 3.897287368774414 0 0 0
441 0.040649835020303726 3.8992533683776855 0 0 0
442 0.04046427831053734 3.9013519287109375 0 0 0
443 0.04028960317373276 3.903294563293457 0 0 0
444 0.04011794179677963 3.9052886962890625 0 0 0
445 0.039948832243680954 3.907500982284546 0 0 0
